date,generatedCoins,paymentCount,marketcap(EUR),price(EUR)
2017-10-02,1875.0,463964.0,63477979545.6,3824.3547000000003
2017-10-03,2287.5,440833.0,63667758366.72,3835.3602
2017-10-04,1675.0,366423.0,62389894348.8,3757.8518999999997
2017-10-05,1562.5,401676.0,61103306833.92,3679.9956
2017-10-06,1987.5,457187.0,62475226398.72,3762.2802
2017-10-07,1975.0,376557.0,63131598274.56,3801.3345000000004
2017-10-08,2275.0,370758.0,64010618880.0,3853.8129
2017-10-09,2012.5,429684.0,66691127132.159996,4014.6324000000004
2017-10-10,2000.0,462138.0,69036108595.2,4155.3027
2017-10-11,1737.5,453823.0,69233050091.52,4166.6475
2017-10-12,1912.5,426771.0,69823354306.56,4201.7346
2017-10-13,1700.0,501228.0,79006766284.8,4753.8192
2017-10-14,1762.5,448376.0,81608634777.6,4909.871099999999
2017-10-15,2437.5,426984.0,84400317726.72,5077.2852
2017-10-16,2175.0,484439.0,82266289520.64,4948.1858999999995
2017-10-17,2050.0,500846.0,83058288967.68,4995.1746
2017-10-18,1887.5,497948.0,81075439534.08,4875.323399999999
2017-10-19,2225.0,525157.0,80794263552.0,4857.8538
2017-10-20,2237.5,500763.0,82604695633.92,4966.0557
2017-10-21,1912.5,447156.0,86794026762.24,5217.2073
2017-10-22,2275.0,433885.0,87380988395.52,5251.8942
2017-10-23,2137.5,477707.0,86949218058.24,5225.22
2017-10-24,2087.5,529691.0,85940000686.08,5163.9024
2017-10-25,2312.5,464949.0,80000154501.12,4806.402
2017-10-26,2250.0,416138.0,83246057963.52,5000.7164999999995
2017-10-27,1300.0,418157.0,85456138813.44,5132.7738
2017-10-28,1062.5,327091.0,83841515028.48,5035.4034
2017-10-29,1925.0,516737.0,83363226501.12,5006.3628
2017-10-30,1837.5,496273.0,88594723307.52,5319.9195
2017-10-31,1725.0,461286.0,88853306572.8,5334.857400000001
2017-11-01,1950.0,554430.0,93339557314.56,5603.6439
2017-11-02,1875.0,510736.0,98231400775.68,5896.659900000001
2017-11-03,1487.5,516545.0,102732953272.31999,6166.1511
2017-11-04,1625.0,418542.0,103857293721.6,6233.097599999999
2017-11-05,1762.5,425979.0,107347647528.96,6441.932400000001
2017-11-06,1662.5,453874.0,107340014469.12,6440.8014
2017-11-07,1950.0,554073.0,101838923120.64,6110.097000000001
2017-11-08,1800.0,481445.0,103566011596.8,6213.0006
2017-11-09,1912.5,531408.0,108007397621.76,6478.7420999999995
2017-11-10,1500.0,463010.0,104058468679.68,6241.1451
2017-11-11,1000.0,344731.0,96014834319.36,5758.1907
2017-11-12,1000.0,355141.0,91332383293.44,5477.041499999999
2017-11-13,1750.0,529275.0,86155244421.12,5166.2775
2017-11-14,1600.0,476312.0,95207497482.24,5708.4875999999995
2017-11-15,1900.0,547969.0,96279917445.12,5772.2412
2017-11-16,1900.0,516488.0,106282910515.2,6371.2188
2017-11-17,2087.5,534530.0,113992764211.2,6832.6059
2017-11-18,1700.0,468080.0,111729686691.84,6696.5727
2017-11-19,2000.0,465574.0,112747399495.68,6756.4461
2017-11-20,2187.5,574204.0,116725556428.8,6993.9909
2017-11-21,2162.5,590709.0,119161172459.52,7138.9938
2017-11-22,1850.0,515406.0,117320749793.28,7027.8165
2017-11-23,1962.5,565864.0,119576693145.6,7162.1705999999995
2017-11-24,1862.5,544620.0,117290238935.04,7024.397400000001
2017-11-25,1950.0,521448.0,119739731312.64,7170.287699999999
2017-11-26,1912.5,537151.0,127706621706.24,7646.464800000001
2017-11-27,2125.0,625210.0,135912310702.08,8136.866399999999
2017-11-28,1950.0,605525.0,142770832343.04,8546.3841
2017-11-29,2162.49999928,669272.0,146479031255.04,8767.338
2017-11-30,2087.5,644407.0,144017608212.48,8618.9073
2017-12-01,2287.5,659212.0,148279236034.56,8872.782000000001
2017-12-02,2012.5,506753.0,159635946209.28,9551.121
2017-12-03,2200.0,554015.0,161174674145.28,9641.949
2017-12-04,2262.5,658211.0,164579973857.28,9844.398
2017-12-05,2225.0,678119.0,169988570480.63998,10166.559000000001
2017-12-06,2350.0,727780.0,173469302784.0,10373.358
2017-12-07,1900.0,633371.0,207581596876.8,12411.507
2017-12-08,1950.0,667114.0,259074318336.0,15488.523000000001
2017-12-09,2175.0,632247.0,240481353400.32,14375.270999999999
2017-12-10,2050.0,533121.0,220790111600.63998,13196.508
2017-12-11,2137.5,663293.0,224587683594.24,13421.838
2017-12-12,1950.0,662530.0,246344512634.88,14720.225999999999
2017-12-13,2325.0,709918.0,254823324057.6,15225.0
2017-12-14,2312.5,764683.0,238613598535.68,14254.601999999999
2017-12-15,2112.49999921,698713.0,241803960975.36,14443.131
2017-12-16,2137.5,601778.0,258716911534.08,15451.461
2017-12-17,2312.5,643748.0,283742913822.72,16943.946
2017-12-18,2275.0,681423.0,278400256573.44,16622.568000000003
2017-12-19,1750.0,643653.0,278610760826.88,16632.921
2017-12-20,1700.0,615360.0,258847963545.6,15451.461
2017-12-21,1650.0,632916.0,242579325911.04,14478.888
2017-12-22,1937.5,670389.0,231751841218.56,13831.26
